"max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","sp_name"
5.5,2.7,21.97,25.975,"omnivore","demersal","day","coral","Chrysiptera rapanui"
7,2.5,26.058,31.284,"omnivore","demersal","day","coral","Chrysiptera rex"
7.5,2.7,26.5845,30.793,"omnivore","demersal","day","coral","Chrysiptera rollandi"
5.5,3.23263089521711,28.792,30.793,"planktivore","benthic","day","coral","Chrysiptera springeri"
7,2.8,23.2644,29.3856,"omnivore","demersal","day","coral","Chrysiptera starcki"
6,2.8,27.597,31.435,"omnivore","demersal","day","coral","Chrysiptera talboti"
8,2.7,26.2291,30.0722,"omnivore","demersal","day","coral","Chrysiptera taupou"
5,3.2443328887753,28.4468,29.7226,"planktivore","benthic","day","coral","Chrysiptera traceyi"
6,2.7,26.360725,31.137,"omnivore","demersal","day","coral","Chrysiptera tricincta"
10,2.1,24.76545,29.7309,"browsing herbivore","demersal","day","coral","Chrysiptera unimaculata"
50,3.8,19.5045,24.07,"benthic invertivore","demersal","day","rock","Chrysoblephus laticeps"
15,3.4,28.7065,30.793,"benthic invertivore","demersal","day","coral","Cirrhilabrus cyanopleura"
12,3.4,27.906875,31.419,"benthic invertivore","demersal","day","coral","Cirrhilabrus exquisitus"
6.5,3.20996759511354,29.541,29.893,"planktivore","benthic","day","coral","Cirrhilabrus flavidorsalis"
7.1,3.3,25.4159,30.492,"benthic invertivore","demersal","day","coral","Cirrhilabrus katherinae"
12,3.4,24.599375,29.35625,"benthic invertivore","demersal","day","coral","Cirrhilabrus laboutei"
12,3.4,26.9805,29.366,"benthic invertivore","demersal","day","coral","Cirrhilabrus lineatus"
13,3.4,23.2875,30.405,"benthic invertivore","demersal","day","coral","Cirrhilabrus punctatus"
11.2,3.381818182,28.319,31.224,"planktivore","pelagic site attached","day","coral","Cirrhilabrus randalli"
13,3.4,26.54415,29.6392,"benthic invertivore","demersal","day","coral","Cirrhilabrus scottorum"
11,3.4,29.1675,30.737,"benthic invertivore","demersal","day","coral","Cirrhilabrus solorensis"
9.9,3.4,23.6627,31.419,"benthic invertivore","demersal","day","coral","Cirrhilabrus temminckii"
7,3.3,30.742,31.794,"benthic invertivore","demersal","day","coral","Cirrhilabrus walindi"
13,3.5,21.581,26.992,"benthic invertivore","benthic","day","coral","Cirrhitichthys aprinus"
7,4,25.16,30.437,"benthic invertivore","benthic","day","coral","Cirrhitichthys falco"
10,4,26.9836,30.5662,"benthic invertivore","benthic","day","coral","Cirrhitichthys oxycephalus"
12.7,3.6,25.617,27.207,"benthic invertivore","benthic","day","coral","Cirrhitops fasciatus"
25,4,25.7111,28.3842,"benthic invertivore","benthic","day","coral","Cirrhitops hubbardi"
30,3.6,26.63445,30.5211,"benthic invertivore","benthic","day","coral","Cirrhitus pinnulatus"
60,4,25.482,30.2,"benthic invertivore","benthic","day","coral","Cirrhitus rivulatus"
12.3,2,22.0618,26.67475,"browsing herbivore","benthic","day","coral","Cirripectes alboapicalis"
6.5,2,26.9311,31.7222,"omnivore","benthic","day","coral","Cirripectes alleni"
9,2,29.51455,30.78385,"browsing herbivore","benthic","day","coral","Cirripectes auritus"
12.5,2,26.661,30.78,"browsing herbivore","benthic","day","coral","Cirripectes castaneus"
12,2,24.691,30.31,"browsing herbivore","benthic","day","coral","Cirripectes chelomatus"
9,2,26.725,31.31,"browsing herbivore","benthic","day","coral","Cirripectes filamentosus"
15,2,25.891125,29.05925,"browsing herbivore","benthic","day","coral","Cirripectes fuscoguttatus"
10.6,2,21.0105,24.265,"browsing herbivore","benthic","day","rock","Cirripectes hutchinsi"
13,2.8,26.8805,30.7992,"browsing herbivore","benthic","day","coral","Cirripectes polyzona"
10,2,28.139375,30.88775,"browsing herbivore","benthic","day","coral","Cirripectes springeri"
13,2,25.013,29.871,"browsing herbivore","benthic","day","coral","Cirripectes stigmaticus"
10,2,25.811,27.813,"browsing herbivore","benthic","day","coral","Cirripectes vanderbilti"
10,2,26.2775,30.083,"browsing herbivore","benthic","day","coral","Cirripectes variolosus"
28,3.6,20.42625,25.1405,"benthic invertivore","demersal","night","rock","Cleidopus gloriamaris"
30,3.3,27.12125,30.3305,"planktivore","demersal","day","coral","Clepticus parrae"
30,3.4,18.5785,22.345,"benthic invertivore","benthic","day","rock","Clinus superciliosus"
12,3.3,18.642,22.345,"benthic invertivore","benthic","day","rock","Clinus venustris"
91,2.8,19.8276,24.56,"benthic invertivore","demersal","night","rock","Cnidoglanis macrocephalus"
7,3.3,18.0128,22.74855,"benthic invertivore","benthic","day","rock","Cochleoceps bicolor"
5.5,3.2,20.0543,24.56,"benthic invertivore","benthic","day","rock","Cochleoceps orientalis"
200,4.2,15.5685,21.2269,"higher carnivore","benthic","day","rock","Conger verreauxi"
27.2,3.3,13.2045,18.287,"benthic invertivore","benthic","day","rock","Congiopodus peruvianus"
18,2.7,25.0257,30.1404,"benthic invertivore","demersal","day","rock","Coradion altivelis"
15,2.8,26.26975,31.60155,"benthic invertivore","demersal","day","coral","Coradion chrysozonus"
40,3.4,20.2995,23.731,"benthic invertivore","demersal","day","rock","Coris auricularis"
14,3.3,24.6835,31.207,"benthic invertivore","demersal","day","rock","Coris aurilineata"
120,3.4,25.321225,30.62745,"benthic invertivore","demersal","day","coral","Coris aygula"
17,3.4,25.6895,31.224,"benthic invertivore","demersal","day","coral","Coris batuensis"
95,3.3,22.171,25.27,"benthic invertivore","demersal","day","coral","Coris bulbifrons"
20,3.4,25.98875,31.13425,"benthic invertivore","demersal","day","coral","Coris caudimacula"
9.2,3.2,26.604,30.17,"benthic invertivore","demersal","day","coral","Coris centralis"
38,3.4,27.108025,30.80275,"benthic invertivore","demersal","day","coral","Coris cuvieri"
22.5,3.4,23.2705,25.975,"benthic invertivore","demersal","day","coral","Coris debueni"
20,3.3,22.5961,29.018,"benthic invertivore","demersal","day","rock","Coris dorsomacula"
60,3.3,28.0337,32.821,"benthic invertivore","demersal","day","coral","Coris formosa"
40,3.5,25.768875,31.224,"benthic invertivore","demersal","day","coral","Coris gaimard"
13.9,3.3,28.25385,29.3499,"benthic invertivore","demersal","day","coral","Coris hewetti"
30,3.2,20.31165,29.0503,"benthic invertivore","demersal","day","rock","Coris julis"
25,3.3,20.245,25.219,"benthic invertivore","demersal","day","coral","Coris picta"
15,3.3,25.131,31.282,"benthic invertivore","demersal","day","coral","Coris pictoides"
19.8,3.3,25.558625,28.35,"benthic invertivore","demersal","day","coral","Coris roseoviridis"
25,3.5,19.503,24.166,"benthic invertivore","demersal","day","rock","Coris sandeyeri"
19.3,3.3,25.9475,27.207,"benthic invertivore","demersal","day","coral","Coris venusta"
5,2.7,25.499525,30.61805,"omnivore","benthic","day","sand","Coryphopterus dicrus"
6,2,26.8716,30.6412,"omnivore","benthic","day","sand","Coryphopterus eidolon"
8,2.7,26.58,31.063,"omnivore","benthic","day","sand","Coryphopterus glaucofraenum"
2.5,2.9,26.6805,31.063,"omnivore","benthic","day","sand","Coryphopterus hyalinus"
3,2.9,27.974,29.684,"browsing herbivore","benthic","day","sand","Coryphopterus lipernes"
4,2.7,28.31765,30.3713,"omnivore","benthic","day","sand","Coryphopterus personatus"
6.5,3.5,25.799,30.2,"omnivore","benthic","day","sand","Coryphopterus urospilus"
60,4.2,23.505,26.17,"higher carnivore","demersal","day","rock","Cratinus agassizii"
8,3.3,17.12,19.301,"benthic invertivore","benthic","day","rock","Cremnochorites capensis"
60,2.3,25.279775,30.572,"browsing herbivore","pelagic site attached","day","sand","Crenimugil crenilabis"
22,4,19.057,23.293,"benthic invertivore","benthic","day","rock","Cristiceps aurantiacus"
19.9254670194319,3.49160857097345,23.669,31.518,"benthic invertivore","benthic","day","rock","Crocodilichthys gracilis"
10,2,25.1665,30.402,"browsing herbivore","benthic","day","coral","Crossosalarias macrospilus"
6,3.2,17.973725,21.43435,"benthic invertivore","benthic","day","rock","Cryptichthys jojettae"
10,3,25.305125,29.94175,"benthic invertivore","benthic","day","sand","Cryptocentrus caeruleomaculatus"
13,3.4,26.462,30.2,"benthic invertivore","benthic","day","sand","Cryptocentrus caeruleopunctatus"
12,2.83856793564796,27.8503402923146,30.2944104946556,"browsing herbivore","benthic","day","sand","Cryptocentrus cinctus"
13,2.78077820829624,30.5165,31.176,"browsing herbivore","benthic","day","sand","Cryptocentrus cryptocentrus"
14,3.4,25.89665,30.909,"benthic invertivore","benthic","day","sand","Cryptocentrus fasciatus"
10,3.3,27.68585,31.1707,"benthic invertivore","benthic","day","sand","Cryptocentrus strigilliceps"
22,2,26.6265,31.274,"browsing herbivore","demersal","day","coral","Ctenochaetus binotatus"
16,2.1,27.0941,31.1862,"browsing herbivore","demersal","day","coral","Ctenochaetus cyanocheilus"
11.8,2.2,26.5214,30.0048,"browsing herbivore","demersal","day","coral","Ctenochaetus flavicauda"
25,2,26.52655,29.6021,"browsing herbivore","demersal","day","coral","Ctenochaetus hawaiiensis"
27,2,28.3355,29.955,"browsing herbivore","demersal","day","coral","Ctenochaetus marginatus"
26,2,26.790875,31.224,"browsing herbivore","demersal","day","coral","Ctenochaetus striatus"
16,2.1,30.3665,31.794,"browsing herbivore","demersal","day","coral","Ctenochaetus tominiensis"
16,2.1,29.227,33.011,"browsing herbivore","demersal","day","coral","Ctenochaetus truncatus"
8.5,2.84949331360956,27.9227,30.225,"browsing herbivore","benthic","day","sand","Ctenogobiops aurocingulus"
10,3.5,27.03875,30.3405,"benthic invertivore","benthic","day","sand","Ctenogobiops crocineus"
8,3.3,26.81505,29.7664,"benthic invertivore","benthic","day","sand","Ctenogobiops feroculus"
4.4,3.5,26.9944,30.572,"benthic invertivore","benthic","day","sand","Ctenogobiops maculosus"
7.6,3.349710145,28.1066,31.2042,"benthic invertivore","benthic","day","sand","Ctenogobiops mitodes"
8,3.3,26.9247,31.224,"benthic invertivore","benthic","day","sand","Ctenogobiops pomastictus"
7.6,3.349710145,28.991625,31.12515,"benthic invertivore","benthic","day","sand","Ctenogobiops tangaroai"
18,3.4,10.9735,23.062,"benthic invertivore","demersal","day","rock","Ctenolabrus rupestris"
45,4,21.96915,26.5177,"higher carnivore","pelagic non-site attached","day","water column","Cybiosarda elegans"
30,3.6,25.939325,30.849,"benthic invertivore","demersal","day","coral","Cyclichthys orbicularis"
20.3,3,8.239,17.656,"benthic invertivore","pelagic site attached","day","rock","Cymatogaster aggregata"
50,4.5,26.44925,31.04675,"higher carnivore","benthic","night","sand","Cymbacephalus beauforti"
7.5,3.6,26.044375,30.34875,"benthic invertivore","benthic","night","coral","Cypho purpurascens"
6,3.31874890020309,29.915,30.437,"benthic invertivore","benthic","day","coral","Cypho zaps"
15,3.2,24.77815,30.1605,"benthic invertivore","benthic","day","coral","Cyprinocirrhites polyactis"
120,2.9,17.2807,22.745,"benthic invertivore","demersal","day","rock","Dactylophora nigricans"
30,3.4,23.69275,30.3095,"benthic invertivore","benthic","day","rock","Dactylopus dactylopus"
14,3.1,25.81435,27.2714,"planktivore","demersal","day","coral","Dascyllus albisella"
10,2.5,25.134,31.137,"omnivore","demersal","day","coral","Dascyllus aruanus"
7,2.7,29.3365,32.821,"planktivore","demersal","day","coral","Dascyllus carneus"
12,2.8,26.655,30.044,"planktivore","demersal","day","coral","Dascyllus flavicaudus"
6,3.27810803243264,24.847,28.649,"planktivore","benthic","day","coral","Dascyllus marginatus"
8,3,28.1351,31.655,"planktivore","demersal","day","coral","Dascyllus melanurus"
9,3.1,25.4615,31.137,"planktivore","demersal","day","coral","Dascyllus reticulatus"
9,2.8,28.3158,29.32045,"planktivore","demersal","day","coral","Dascyllus strasburgi"
11,2.8,25.53975,31.2935,"planktivore","demersal","day","coral","Dascyllus trimaculatus"
48,3.1,18.031,21.512,"planktivore","pelagic non-site attached","day","water column","Decapterus koheru"
46,3.4,25.842475,30.73495,"higher carnivore","pelagic non-site attached","day","water column","Decapterus macarellus"
50,3.4,22.125025,29.132,"planktivore","pelagic non-site attached","day","water column","Decapterus muroadsi"
32,4.120760129918,25.147411259717,30.6670643163133,"higher carnivore","benthic","day","sand","Decapterus punctatus"
7,3.4,18.0875,21.432,"benthic invertivore","benthic","day","sand","Dellichthys morelandi"
16.5,4.2,26.3575,28.775,"higher carnivore","benthic","day","coral","Dendrochirus barberi"
25,3.6,24.15895,32.1479,"benthic invertivore","benthic","day","coral","Dendrochirus zebra"
100,4.5,19.2115,26.85,"higher carnivore","demersal","day","rock","Dentex dentex"
100,4.5,25.55825,29.8435,"higher carnivore","demersal","day","rock","Dermatolepis dermatolepis"
5,3.1,24.3135,31.31,"benthic invertivore","benthic","day","coral","Diademichthys lineatus"
90,3.6,26.161,32.167,"benthic invertivore","demersal","night","coral","Diagramma labiosum"
37.8083465146759,3.97321296055097,30.5165,31.176,"higher carnivore","benthic","day","coral","Diagramma melanacrum"
103,3.8,16.8962,27.4554,"higher carnivore","pelagic non-site attached","day","water column","Dicentrarchus labrax"
70,3.9,20.1075,26.541,"higher carnivore","pelagic site attached","day","sand","Dicentrarchus punctatus"
80,3.3,17.12,19.301,"benthic invertivore","pelagic non-site attached","day","water column","Dichistius capensis"
43,3.5,20.454,25.637,"benthic invertivore","demersal","day","rock","Dicotylichthys punctulatus"
90,3.6,17.46075,23.4815,"higher carnivore","pelagic site attached","day","rock","Dinolestes lewini"
50,3.3,25.66,31.518,"benthic invertivore","demersal","day","coral","Diodon holocanthus"
91,3.4,25.04505,31.3911,"benthic invertivore","demersal","day","coral","Diodon hystrix"
65,3.4,24.947,32.083,"benthic invertivore","demersal","day","coral","Diodon liturosus"
40,3.3,16.433,22.629,"benthic invertivore","demersal","day","rock","Diodon nicthemerus"
35,3.4,18.3643,26.8496,"benthic invertivore","demersal","day","rock","Diplodus annularis"
44,3,20.18775,30.1585,"benthic invertivore","demersal","day","rock","Diplodus argenteus"
45,2.7,19.5045,24.07,"benthic invertivore","demersal","day","rock","Diplodus capensis"
44,3,18.599125,24.705,"benthic invertivore","demersal","day","rock","Diplodus cervinus"
60,2.9,19.192225,26.81145,"omnivore","demersal","day","rock","Diplodus puntazzo"
44,3,18.4492,26.85,"benthic invertivore","demersal","day","rock","Diplodus sargus"
45,3.2,19.6715,27.77,"benthic invertivore","demersal","day","rock","Diplodus vulgaris"
10,3.45732739053314,26.8718,30.7606,"benthic invertivore","benthic","night","sand","Diplogrammus goramensis"
8,3.7,23.0911,30.9327,"benthic invertivore","benthic","day","sand","Diplogrammus xenicus"
25,4,25.74925,31.3435,"benthic invertivore","demersal","day","sand","Diploprion bifasciatum"
10,3.3,30.0905,31.435,"benthic invertivore","demersal","day","coral","Diproctacanthus xanthurus"
31.56617647,3.394444444,26.094,29.472,"planktivore","pelagic non-site attached","day","water column","Dipterygonotus balteatus"
15,2,27.4445,30.605,"algal farmer","demersal","day","coral","Dischistodus chrysopoecilus"
10.3,2.1,26.85535,31.344,"algal farmer","demersal","day","coral","Dischistodus darwiniensis"
16,2,27.369,31.224,"algal farmer","demersal","day","coral","Dischistodus melanotus"
18,2,27.355125,31.176,"algal farmer","demersal","day","coral","Dischistodus perspicillatus"
17,2,26.3169,31.2088,"algal farmer","demersal","day","coral","Dischistodus prosopotaenia"
18,2,26.783,29.971,"algal farmer","demersal","day","coral","Dischistodus pseudochrysopoecilus"
9.4,3.3,27.1655,30.377,"benthic invertivore","demersal","day","coral","Doratonotus megalepis"
10,3.3,19.688,23.178,"benthic invertivore","demersal","day","rock","Dotalabrus alleni"
15,3.4,16.1685,22.065,"benthic invertivore","demersal","day","rock","Dotalabrus aurantiacus"
110,3.4,25.358825,31.24825,"higher carnivore","pelagic non-site attached","day","water column","Echeneis naucrates"
75,3.3,26.863025,30.5758,"higher carnivore","pelagic non-site attached","day","water column","Echeneis neucratoides"
100,4,25.04825,30.9655,"benthic invertivore","benthic","night","coral","Echidna nebulosa"
71,3.9,22.469475,31.5269,"benthic invertivore","benthic","night","coral","Echidna nocturna"
4.3,2,27.01175,29.8295,"browsing herbivore","benthic","day","coral","Ecsenius aequalis"
3.4,2,28.291,31.234,"browsing herbivore","benthic","day","coral","Ecsenius alleni"
3.4,2,29.1972,30.6164,"browsing herbivore","benthic","day","coral","Ecsenius bandanus"
4,2.14570824714007,29.5915,30.437,"browsing herbivore","benthic","day","coral","Ecsenius bathi"
11,2,26.8323,31.419,"browsing herbivore","benthic","day","coral","Ecsenius bicolor"
3.9,2,25.882,29.725,"omnivore","benthic","day","coral","Ecsenius fijiensis"
4.9,2,24.4065,29.016,"browsing herbivore","benthic","day","coral","Ecsenius fourmanoiri"
8,2.23802684577391,24.8409,28.5945,"browsing herbivore","benthic","day","coral","Ecsenius frontalis"
8,2.23802684577391,24.847,28.649,"browsing herbivore","benthic","day","coral","Ecsenius gravieri"
9,2,25.90075,30.9695,"browsing herbivore","benthic","day","coral","Ecsenius lineatus"
5.82,2.169605475,28.8545,31.137,"browsing herbivore","benthic","day","coral","Ecsenius lividanalis"
13,2.6,28.41805,30.6991,"browsing herbivore","benthic","day","coral","Ecsenius midas"
4,2,29.5425,30.843,"browsing herbivore","benthic","day","coral","Ecsenius minutus"
6.5,2,29.227,33.011,"browsing herbivore","benthic","day","coral","Ecsenius nalolo"
11,2,29.7695,30.793,"browsing herbivore","benthic","day","coral","Ecsenius namiyei"
4.7,2,26.321,29.7435,"browsing herbivore","benthic","day","coral","Ecsenius oculatus"
3.7,2,30.297,31.655,"browsing herbivore","benthic","day","coral","Ecsenius prooculis"
5.82,2.169605475,28.282375,31.15075,"browsing herbivore","benthic","day","coral","Ecsenius schroederi"
5.8,2,26.976225,30.402,"browsing herbivore","benthic","day","coral","Ecsenius stictus"
6,2.23935462367553,29.961,31.176,"browsing herbivore","benthic","day","coral","Ecsenius stigmatura"
5,2,27.431,30.402,"browsing herbivore","benthic","day","coral","Ecsenius tigris"
3,2,28.85495,31.60325,"browsing herbivore","benthic","day","coral","Ecsenius trilineatus"
6,2,26.699825,31.31,"browsing herbivore","benthic","day","coral","Ecsenius yaeyamaensis"
7,3.5,25.0815,26.903,"benthic invertivore","benthic","day","coral","Ekemblemaria myersi"
4,3.4,27.008,30.244,"cleaner","benthic","day","coral","Elacatinus evelynae"
3.4,3.4,26.3615,28.113,"cleaner","benthic","day","coral","Elacatinus figaro"
4.5,3.4,27.2988,30.1908,"cleaner","benthic","day","coral","Elacatinus genie"
5,3.5,27.98205,29.7001,"benthic invertivore","benthic","day","coral","Elacatinus horsti"
5,3.5,26.58,31.063,"cleaner","benthic","day","coral","Elacatinus oceanops"
4,3.2,28.51135,30.0127,"cleaner","benthic","day","coral","Elacatinus prochilos"
4.4,3.5,26.5616,30.354,"cleaner","benthic","day","coral","Elacatinus puncticulatus"
4.6,3.5,27.974,29.684,"cleaner","benthic","day","coral","Elacatinus randalli"
2.5,3,20.369225,29.641,"cleaner","benthic","day","coral","Tigrigobius saucrus"
4,3.4,28.58385,30.22035,"benthic invertivore","benthic","day","coral","Elacatinus xanthiprora"
180,3.6,25.1346,31.3828,"higher carnivore","pelagic non-site attached","day","water column","Elagatis bipinnulata"
7,3.3,23.2275,25.682,"benthic invertivore","benthic","day","sand","Eleotrica cableae"
91,4.1,26.70685,31.3617,"planktivore","pelagic non-site attached","day","water column","Elops affinis"
39,3.2,17.321875,21.913,"benthic invertivore","pelagic site attached","day","rock","Embiotoca jacksoni"
38,3.4,8.7165,18.611,"benthic invertivore","pelagic site attached","day","rock","Embiotoca lateralis"
3.5,3.36557795096394,28.4465925582307,30.2053956165401,"planktivore","benthic","night","coral","Emblemariopsis signifer"
90,4.5,23.494225,26.49825,"higher carnivore","benthic","night","coral","Enchelycore lichenosa"
150,4.7,21.684975,25.975,"higher carnivore","benthic","night","coral","Enchelycore ramosa"
15,3,20.409,23.993,"planktivore","pelagic non-site attached","day","water column","Engraulis australis"
3,2.8,27.94815,31.3937,"benthic invertivore","benthic","day","coral","Enneanectes carminalis"
5,2.7,20.9035,25.637,"benthic invertivore","benthic","day","rock","Enneapterygius atrogulare"
4,2.9,24.9645,30.127,"benthic invertivore","benthic","day","coral","Enneapterygius hemimelas"
3.3,2.9,21.051,24.344,"benthic invertivore","benthic","day","rock","Enneapterygius kermadecensis"
3.5,2.9,24.313875,31.55175,"benthic invertivore","benthic","day","coral","Enneapterygius larsonae"
2.7,3,24.46025,29.10085,"benthic invertivore","benthic","day","coral","Enneapterygius mirabilis"
3.6,2.9,21.9562,25.2134,"benthic invertivore","benthic","day","rock","Enneapterygius rufopileus"
3.583333333,2.923797376,23.515,27.244,"benthic invertivore","benthic","day","rock","Enneapterygius similis"
32,3.3,8.7335,17.391,"browsing herbivore","benthic","day","rock","Enophrys diceraus"
50,3.4,18.277,24.56,"benthic invertivore","demersal","day","rock","Enoplosus armatus"
13,3.3,18.01865,24.56,"benthic invertivore","benthic","day","rock","Eocallionymus papilio"
18.5,3.6,29.7695,30.793,"benthic invertivore","demersal","day","coral","Epibulus brevis"
54,3.8,26.778,31.224,"benthic invertivore","demersal","day","coral","Epibulus insidiator"
56,3.9,19.869125,23.24025,"higher carnivore","demersal","day","rock","Epinephelides armatus"
48.8792633042632,4.0688716929431,25.2637853946161,30.6026533885107,"higher carnivore","benthic","day","coral","Epinephelus guttatus"
61,3.5,26.8825,30.553,"higher carnivore","demersal","day","coral","Epinephelus adscensionis"
104,3.8,22.1895,30.468,"higher carnivore","demersal","day","coral","Epinephelus analogus"
47,3.6,22.7175,31.475,"higher carnivore","demersal","day","rock","Epinephelus areolatus"
33,3.7,26.5846,31.6882,"higher carnivore","demersal","day","coral","Epinephelus bilobatus"
76,3.9,28.0919,32.6375,"higher carnivore","demersal","day","coral","Epinephelus bleekeri"
76,3.7,26.5641,30.395,"benthic invertivore","demersal","day","coral","Epinephelus coeruleopunctatus"
120,3.9,26.159,32.224,"higher carnivore","demersal","day","coral","Epinephelus coioides"
49,3.8,25.769675,30.76985,"higher carnivore","demersal","day","coral","Epinephelus corallicola"
140,3.9,21.48865,29.067,"higher carnivore","demersal","day","rock","Epinephelus costae"
122,4.1,24.42,29.709,"higher carnivore","demersal","day","coral","Epinephelus cyanopodus"
200,4,20.547,25.531,"higher carnivore","demersal","day","coral","Epinephelus daemelii"
40,3.7,25.737,31.495,"benthic invertivore","demersal","day","coral","Epinephelus fasciatus"
120,4.1,17.78025,31.051,"higher carnivore","demersal","day","coral","Epinephelus fuscoguttatus"
27.5,4.1,26.16925,29.6155,"higher carnivore","demersal","day","coral","Epinephelus hexagonatus"
55,4,26.4928068157921,30.9504840503245,"higher carnivore","demersal","day","coral","Epinephelus howlandi"
27.7,3.7,28.3115,29.298,"higher carnivore","demersal","day","coral","Epinephelus irroratus"
250,4.1,23.951375,31.2693,"benthic invertivore","demersal","day","coral","Epinephelus itajara"
60,4,25.5325,30.292,"higher carnivore","demersal","day","coral","Epinephelus labriformis"
85.1,3.868829583,26.756275,31.27695,"higher carnivore","demersal","day","coral","Epinephelus lanceolatus"
55,4.2,29.7385,30.492,"higher carnivore","demersal","day","coral","Epinephelus longispinis"
51,3.8,26.708725,30.3521,"higher carnivore","demersal","day","coral","Epinephelus macrospilos"
60.5,3.9,24.5899,30.0488,"higher carnivore","demersal","day","coral","Epinephelus maculatus"
234,3.8,26.888375,31.36215,"higher carnivore","demersal","day","coral","Epinephelus malabaricus"
150,3.7,20.7775,29.073,"higher carnivore","demersal","day","rock","Epinephelus marginatus"
35,4,26.9998,29.7822,"higher carnivore","demersal","day","coral","Epinephelus melanostigma"
31,3.8,26.001,31.17,"higher carnivore","demersal","day","coral","Epinephelus merra"
125,3.5,25.995525,31.00945,"higher carnivore","demersal","day","coral","Epinephelus morio"
100,3.9,26.42815,31.3753,"higher carnivore","demersal","day","coral","Epinephelus multinotatus"
130,4,21.2765,23.895,"higher carnivore","demersal","day","coral","Hyporthodus octofasciatus"
40,3.7,27.235,30.956,"higher carnivore","demersal","day","coral","Epinephelus ongus"
90,3.9,25.881175,30.85635,"higher carnivore","demersal","day","coral","Epinephelus polyphekadion"
40,4,26.161,32.167,"higher carnivore","demersal","day","coral","Epinephelus quoyanus"
46,3.6,25.1687,31.6264,"higher carnivore","demersal","day","coral","Epinephelus rivulatus"
52,4.2,26.692,29.7988,"higher carnivore","demersal","day","coral","Epinephelus socialis"
35,3.7,27.4497,30.674,"higher carnivore","demersal","day","coral","Epinephelus spilotoceps"
122,4.1,26.908,30.91,"higher carnivore","demersal","day","coral","Epinephelus striatus"
75,4.1,26.4963,31.272,"higher carnivore","demersal","day","coral","Epinephelus tauvina"
200,4.2,26.4342,31.03935,"higher carnivore","demersal","day","coral","Epinephelus tukula"
61,3.8,20.365,24.56,"higher carnivore","demersal","day","rock","Epinephelus undulatostriatus"
27,3.5,28.00475,30.615,"benthic invertivore","benthic","night","coral","Equetus punctatus"
50,2.8,19.255,23.239,"browsing herbivore","demersal","day","rock","Eubalichthys bucephalus"
38,2.8,22.28135,24.2514,"omnivore","demersal","day","rock","Eubalichthys caeruleoguttatus"
42,2.8,18.09575,22.75,"omnivore","demersal","day","rock","Eubalichthys cyanoura"
60,2.8,17.2465,22.721,"browsing herbivore","demersal","day","rock","Eubalichthys gunnii"
60,2.8,18.84325,24.56,"browsing herbivore","demersal","day","rock","Eubalichthys mosaicus"
20,3.2,23.835,26.272,"benthic invertivore","pelagic site attached","night","sand","Eucinostomus dowii"
20,3.4,18.7685,24.56,"benthic invertivore","demersal","day","rock","Eupetrichthys angustipes"
100,4.5,25.261,30.63975,"higher carnivore","pelagic non-site attached","day","water column","Euthynnus affinis"
84,3.8,24.762,29.012,"higher carnivore","pelagic non-site attached","day","water column","Euthynnus lineatus"
60,3.6,10.7557,19.9188,"benthic invertivore","benthic","night","sand","Eutrigla gurnardus"
3,3.1,26.5616,30.2574,"benthic invertivore","benthic","day","coral","Eviota albolineata"
1.7,3,29.7695,30.793,"benthic invertivore","benthic","day","coral","Eviota atriventris"
3.5,3.2,29.471,30.686,"benthic invertivore","benthic","day","coral","Eviota bifasciata"
2.5,3,22.1219,28.0474,"benthic invertivore","benthic","day","coral","Eviota bimaculata"
2.714285714,3.111896135,22.5955,25.394,"browsing herbivore","benthic","day","rock","Eviota fasciola"
2.5,3.1,27.118,31.165,"benthic invertivore","benthic","day","coral","Eviota guttata"
2.1,3,21.789,24.92,"benthic invertivore","benthic","day","coral","Eviota hoesei"
3,2.10776384867556,29.412375,30.73875,"browsing herbivore","benthic","day","coral","Eviota lachdeberei"
3,3,28.0625,30.209,"benthic invertivore","benthic","day","coral","Eviota latifasciata"
3,3.1,26.8765,30.259,"benthic invertivore","benthic","day","coral","Eviota melasma"
3.5,3.1,29.461625,30.68,"benthic invertivore","benthic","day","coral","Eviota mikiae"
3,3.1,28.064,30.581,"benthic invertivore","benthic","day","coral","Eviota nigriventris"
3,3.1,27.744,31.655,"benthic invertivore","benthic","day","coral","Eviota pellucida"
3,3.1,27.0566,31.176,"benthic invertivore","benthic","day","coral","Eviota prasites"
3,2.09922379602913,30.211,31.176,"browsing herbivore","benthic","day","coral","Eviota raja"
3,3.1,22.010425,24.91455,"benthic invertivore","benthic","day","coral","Eviota readerae"
11.2213115346024,2.25664539353792,30.01025,31.176,"browsing herbivore","benthic","day","coral","Eviota rubriceps"
2.5,3.1,26.7525,31.07,"benthic invertivore","benthic","day","coral","Eviota sebreei"
3,3.1,28.017625,33.011,"benthic invertivore","benthic","day","coral","Eviota sigillata"
2.5,3.1,26.725,31.31,"benthic invertivore","benthic","day","rock","Eviota storthynx"
3,2.11413334218203,27.30005,31.176,"browsing herbivore","benthic","day","coral","Eviota zebrina"
90,3.5,21.307,24.166,"benthic invertivore","demersal","day","rock","Evistias acutirostris"
14.5,3,24.594675,30.05835,"corallivore","benthic","day","coral","Exallias brevis"
