"Di","sp_name","Ui"
0.499079303517059,"Abalistes stellatus",0.0155201603210109
0.472740477995129,"Abudefduf abdominalis",0.0484470671239173
0.471566884215011,"Abudefduf bengalensis",0.0116983553356193
0.477431466231597,"Abudefduf concolor",0.0235529157030804
0.479908929713134,"Abudefduf conformis",0.0210426338824785
0.534928637050045,"Abudefduf luridus",0.0198819414801901
0.476133319782416,"Abudefduf notatus",0.0191568360074914
0.47184362036778,"Abudefduf saxatilis",0.0122925788926323
0.473971838055457,"Abudefduf septemfasciatus",0.0208074080859695
0.484730521578522,"Abudefduf sexfasciatus",0.0326336345377929
0.47437227885484,"Abudefduf sordidus",0.031093028870864
0.473041980299336,"Abudefduf sparoides",0.013835638350896
0.471045368310131,"Abudefduf troschelii",0.018871913574303
0.47899987617153,"Abudefduf vaigiensis",0.031093028870864
0.478661585811652,"Abudefduf whitleyi",0.0281286181596476
0.554727574956858,"Acanthaluteres brownii",0.018200918660796
0.570273196614328,"Acanthaluteres spilomelanurus",0.0958315302340296
0.575334120173307,"Acanthaluteres vittiger",0.0856392976915307
0.537118925243206,"Acanthemblemaria atrata",0.0275813904799423
0.53101330775299,"Acanthemblemaria castroi",0.0233533662841964
0.482792167639242,"Acanthemblemaria crockeri",0.0393483743979321
0.536705503394564,"Acanthemblemaria hancocki",0.0152394171411094
0.497708992617247,"Acanthemblemaria spinosa",0.00894045533571984
0.534908895756029,"Acanthemblemaria stephensi",0.0401316738281918
0.542224250621338,"Acanthistius cinctus",0.0221225231352227
0.546385188589568,"Acanthistius ocellatus",0.013438777858223
0.545872567809124,"Acanthistius pardalotus",0.013438777858223
0.5726615704185,"Acanthistius patachonicus",0.0337019056422359
0.541481621446723,"Acanthistius sebastoides",0.0296970823696486
0.547255146630493,"Acanthistius serratus",0.0250474220088885
0.477336607199601,"Acanthochromis polyacanthus",0.00971809307914788
0.64345222060945,"Acanthocybium solandri",0.0282277306152353
0.487331001091953,"Acanthopagrus australis",0.0363593170211098
0.484717533480428,"Acanthopagrus latus",0.0499734417436877
0.454735234205857,"Acanthostracion polygonius",0.0814295302810754
0.419321400802926,"Acanthostracion quadricornis",0.0146437769206365
0.498149483078783,"Acanthurus achilles",0.00792898728179656
0.475404482443146,"Acanthurus albipectoralis",0.0739078465168896
0.501715289400604,"Acanthurus auranticavus",0.00751581106770415
0.499511439229217,"Acanthurus bahianus",0.00156409614997898
0.503535461760423,"Acanthurus bariene",0.0144754864350914
0.500931429316675,"Acanthurus blochii",0.00641154915919248
0.499590405917891,"Acanthurus chirurgus",0.00290024565006557
0.499643321917719,"Acanthurus coeruleus",0.00156409614997898
0.501937590600552,"Acanthurus dussumieri",0.031594710078414
0.507994650833892,"Acanthurus fowleri",0.0294786764935362
0.478075411482542,"Acanthurus gahhm",0.00898031758743971
0.49649349423803,"Acanthurus grammoptilus",0.0166120486013323
0.497861660191466,"Acanthurus guttatus",0.00498490847216762
0.502637808508646,"Acanthurus leucocheilus",0.0108647239299675
0.497418537054263,"Acanthurus leucopareius",0.0331629807452622
0.505149220808067,"Acanthurus leucosternon",0.0121849010588638
0.500524453381102,"Acanthurus lineatus",0.00743203139865783
0.501733924743056,"Acanthurus maculiceps",0.0108647239299675
0.492033122521286,"Acanthurus mata",0.0246114404256746
0.499251588672386,"Acanthurus nigricans",0.0105058830715244
0.477315741636268,"Acanthurus nigricauda",0.00533762612194375
0.497587121637253,"Acanthurus nigrofuscus",0.00870116402225337
0.497508109254273,"Acanthurus nigroris",0.00887959262721027
0.476458865507471,"Acanthurus nubilus",0.0584796315995412
0.491254106135195,"Acanthurus olivaceus",0.0190266513573403
0.499378292132193,"Acanthurus pyroferus",0.00805301152670981
0.491998262668713,"Acanthurus reversus",0.0296796469732151
0.501586008081836,"Acanthurus sohal",0.0100347910923259
0.503418453745236,"Acanthurus tennentii",0.0234903969824811
0.47269863847846,"Acanthurus thompsoni",0.0122925788926323
0.475589129099902,"Acanthurus triostegus",0.0264528846905607
0.494576109533143,"Acanthurus tristis",0.0296796469732151
0.483115879764729,"Acanthurus xanthopterus",0.0402374683338219
0.519767030214437,"Achoerodus gouldii",0.0593943634084885
0.497384258580935,"Achoerodus viridis",0.0371178308988586
0.540606061363634,"Aetapcus maculatus",0.0110305493484506
0.490767634515245,"Aethaloperca rogaa",0.0110069667555063
0.562378171476045,"Afurcagobius tamarensis",0.031323643254593
0.590790729413226,"Aioliops novaeguineae",0.0305824842001716
0.622992198124596,"Alectis ciliaris",0.0336568036646041
0.603824731286111,"Alectis indica",0.0806263672914358
0.541265952262459,"Alloclinus holderi",0.0202872606794782
0.410970862205478,"Alphestes immaculatus",0.01493693822881
0.495600249033749,"Aluterus scriptus",0.0243819357744721
0.479660634015363,"Amanses scopas",0.0180561840294783
0.693578208468232,"Ambassis jacksoniensis",0.3559788963949
0.480205187556824,"Amblycirrhitus bimacula",0.0158750283277471
0.478557153811433,"Amblycirrhitus pinos",0.0240795030022522
0.542190891263456,"Amblyeleotris fasciata",0.0132221134107044
0.539809247906327,"Amblyeleotris guttata",0.00845175024956145
0.539071983657095,"Amblyeleotris gymnocephala",0.0145594496479852
0.541701669363256,"Amblyeleotris japonica",0.0296181412770602
